0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:36 +0530] "GET /ShoppingCartProject/Resource/images/45.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:36 +0530] "GET /ShoppingCartProject/Resource/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:36 +0530] "GET /ShoppingCartProject/Resource/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:36 +0530] "GET /ShoppingCartProject/Resource/images/44.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:36 +0530] "GET /ShoppingCartProject/Resource/images/b1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:36 +0530] "GET /ShoppingCartProject/Resource/images/img-sp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:39 +0530] "GET /ShoppingCartProject/Resource/images/right-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:39 +0530] "GET /ShoppingCartProject/Resource/images/left-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:44 +0530] "GET /ShoppingCartProject/register HTTP/1.1" 200 11825
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:44 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:44 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Glegoo:400,700 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:20:36 +0530] "GET /ShoppingCartProject/login HTTP/1.1" 200 12406
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:20:37 +0530] "GET /ShoppingCartProject/%3CC:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:20:37 +0530] "GET /ShoppingCartProject/%3CC:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:20:37 +0530] "GET /ShoppingCartProject/Resource/http://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:20:37 +0530] "GET /ShoppingCartProject/Resource/js/index.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:20:38 +0530] "GET /ShoppingCartProject/Resource/images2/img_avatar2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:15 +0530] "GET /ShoppingCartProject/login HTTP/1.1" 200 12406
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:16 +0530] "GET /ShoppingCartProject/%3CC:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:16 +0530] "GET /ShoppingCartProject/Resource/js/easyResponsiveTabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:16 +0530] "GET /ShoppingCartProject/Resource/http://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:16 +0530] "GET /ShoppingCartProject/Resource/js/index.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:16 +0530] "GET /ShoppingCartProject/%3CC:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:16 +0530] "GET /ShoppingCartProject/Resource/images2/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:16 +0530] "GET /ShoppingCartProject/Resource/images2/img_avatar2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:16 +0530] "GET /ShoppingCartProject/Resource/images/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:22 +0530] "GET /ShoppingCartProject/login HTTP/1.1" 200 12406
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:22 +0530] "GET /ShoppingCartProject/%3CC:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:22 +0530] "GET /ShoppingCartProject/%3CC:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:22 +0530] "GET /ShoppingCartProject/Resource/http://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:22 +0530] "GET /ShoppingCartProject/Resource/js/easyResponsiveTabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:22 +0530] "GET /ShoppingCartProject/Resource/js/index.js HTTP/1.1" 404 992
